Change Open Price (%),Change Close Price (%),Change Trade Volume (%),Change Turnover (%),Revenue,Net Profit,Gross Profit,Total Assets,Total Liabilities,Equity,Export Change,Import Change,Sentiment Score,Loan Category
-6.95,-8.96,-19.7,-17.4,44.09,-39.71,40.12,18.6,89.69,31.42,-5.12,12.49,0.05,0
-7.01,-8.13,-15.22,-13.68,5.43,-36.2,49.05,66.89,86.42,47.15,-6.88,11.27,0.2,0
-7.51,-8.34,-18.73,-15.1,44.25,-31.89,29.73,81.03,96.03,37.63,-6.98,14.33,0.18,0
-9.16,-8.59,-15.39,-12.19,31.07,-13.52,10.18,51.63,87.85,1.92,-8.6,10.2,0.07,0
-7.42,-6.1,-17.26,-10.96,9.89,-34.54,28.36,59.15,90.4,49.13,-8.74,10.4,0.14,0
-5.63,-5.39,-12.97,-19.77,44.28,-39.58,40.65,85.61,99.09,40.07,-5.38,14.74,0.0,0
-7.58,-7.46,-12.81,-17.3,46.72,-33.29,45.16,79.4,93.9,29.0,-5.64,13.73,0.03,0
-7.26,-7.78,-15.34,-13.76,6.75,-47.15,6.29,86.81,73.91,22.7,-7.21,12.58,0.15,0
-7.0,-7.12,-10.53,-16.73,1.3,-43.54,41.96,35.42,82.69,20.42,-8.92,12.42,0.17,0
-6.28,-5.38,-12.7,-17.81,42.94,-48.27,13.8,35.31,82.44,45.61,-5.2,10.03,0.15,0
-6.53,-5.63,-12.95,-13.67,26.89,-2.59,10.53,13.47,74.5,44.44,-8.38,12.8,0.13,0
-9.96,-6.86,-15.42,-13.72,0.21,-13.63,29.71,17.91,75.63,28.68,-5.52,14.11,0.03,0
-8.37,-6.39,-10.31,-18.15,21.09,-30.53,8.69,44.75,88.41,9.45,-5.97,11.41,0.14,0
-5.05,-5.06,-10.84,-18.87,49.37,-45.86,49.08,49.29,94.37,26.24,-5.77,13.21,0.0,0
-8.46,-5.52,-16.54,-16.28,8.35,-7.42,42.5,3.84,87.29,31.13,-5.07,10.17,0.05,0
-6.83,-7.89,-13.3,-13.31,43.11,-49.04,28.76,16.85,97.38,33.78,-5.33,11.6,0.09,0
-9.18,-6.41,-17.13,-16.0,24.78,-13.9,49.95,6.09,87.37,10.56,-9.65,13.55,0.02,0
-6.49,-6.36,-13.9,-19.41,29.01,-30.0,14.3,45.83,94.01,49.61,-9.36,12.75,0.13,0
-9.72,-8.49,-18.49,-13.94,49.53,-43.8,13.31,33.63,77.54,26.65,-9.42,14.33,0.1,0
-7.15,-8.93,-16.89,-17.97,25.06,-11.17,6.53,25.51,90.49,32.5,-8.32,10.22,0.09,0
-6.24,-6.51,-19.56,-14.9,7.26,-39.41,14.95,90.73,73.34,3.78,-9.89,12.23,0.16,0
-5.09,-9.09,-19.69,-10.98,19.57,-46.03,5.79,49.73,74.74,2.5,-9.81,13.24,0.06,0
-5.67,-7.34,-11.43,-14.01,36.34,-16.07,36.1,53.76,96.59,44.66,-7.96,10.08,0.01,0
-8.82,-9.57,-17.17,-16.17,32.16,-46.31,33.1,21.01,76.8,49.4,-6.77,14.89,0.12,0
-5.13,-7.43,-13.81,-19.94,24.21,-5.74,33.54,40.94,89.98,21.62,-5.05,12.13,0.17,0
-5.56,-9.31,-18.0,-10.94,8.83,-12.72,7.29,51.94,80.83,41.51,-5.21,12.73,0.11,0
-8.72,-9.12,-14.68,-11.47,43.5,-2.64,36.25,26.92,76.79,18.16,-5.47,12.38,0.16,0
-7.03,-5.36,-18.82,-12.31,31.86,-28.45,12.2,55.28,73.09,8.73,-6.37,12.58,0.14,0
-7.74,-6.14,-12.75,-16.18,34.26,-6.0,33.69,22.35,99.76,49.76,-5.88,12.67,0.1,0
-5.77,-5.13,-13.05,-18.06,6.94,-5.1,46.65,16.57,70.06,26.79,-8.86,10.2,0.04,0
-9.73,-6.37,-16.17,-19.41,20.42,-39.9,31.89,62.17,89.48,8.9,-8.15,12.49,0.19,0
-9.85,-6.63,-11.03,-14.42,39.4,-0.77,8.66,97.99,94.74,49.36,-9.77,11.5,0.1,0
-8.89,-9.52,-16.36,-11.18,28.44,-6.27,48.01,17.23,78.47,39.68,-5.63,11.06,0.03,0
-5.68,-6.84,-10.61,-16.98,28.63,-25.0,5.02,2.0,97.82,6.74,-6.32,11.27,0.07,0
-8.65,-9.48,-19.71,-11.42,21.88,-1.21,46.6,47.87,94.14,39.05,-6.91,12.51,0.08,0
-6.64,-6.13,-10.06,-14.52,42.06,-17.05,48.09,16.11,78.11,1.2,-9.99,11.38,0.09,0
-5.54,-6.98,-16.58,-11.06,25.9,-11.8,4.77,79.48,90.04,35.17,-5.51,10.86,0.0,0
-9.48,-7.88,-10.11,-10.97,16.59,-38.33,33.84,87.29,92.7,13.43,-5.19,14.66,0.08,0
-8.56,-5.77,-18.31,-10.45,11.79,-30.31,34.57,74.26,81.89,32.51,-8.72,14.7,0.15,0
-5.52,-7.13,-19.45,-16.82,42.44,-0.34,49.12,4.06,79.29,11.9,-6.12,10.72,0.05,0
-8.9,-8.11,-16.58,-18.02,43.16,-26.84,7.93,86.38,93.59,18.96,-9.55,13.97,0.08,0
-5.38,-8.83,-12.62,-10.99,27.0,-7.6,11.8,66.4,84.13,15.4,-9.55,14.41,0.03,0
-5.97,-5.01,-19.01,-11.31,34.89,-12.21,24.67,89.01,98.12,32.69,-9.28,12.36,0.17,0
-8.96,-5.2,-17.52,-15.67,24.54,-46.23,40.49,7.69,71.16,48.44,-9.98,10.64,0.06,0
-9.87,-6.52,-18.81,-17.39,34.42,-9.73,27.93,66.25,76.23,34.43,-6.9,11.47,0.18,0
-9.23,-6.14,-18.46,-17.46,11.61,-23.78,18.92,35.98,73.44,35.82,-9.52,13.51,0.19,0
-5.47,-5.47,-12.36,-19.57,3.76,-49.77,3.69,74.56,96.87,31.83,-9.67,10.9,0.12,0
-9.9,-5.18,-10.54,-17.49,14.87,-27.68,32.18,33.04,82.53,21.64,-7.87,11.65,0.16,0
-9.27,-8.24,-18.98,-15.11,49.34,-10.8,6.44,23.51,79.99,13.13,-5.63,12.48,0.01,0
-5.1,-7.37,-14.78,-16.94,38.32,-35.29,2.89,1.46,93.91,45.7,-9.88,11.43,0.09,0
-8.17,-8.05,-15.79,-12.7,18.33,-2.59,10.3,68.48,82.98,19.63,-8.88,12.91,0.09,0
-7.48,-7.27,-11.31,-16.28,43.69,-48.32,33.59,53.7,93.53,41.46,-8.42,10.32,0.11,0
-8.64,-9.58,-14.26,-13.75,2.32,-19.59,37.43,29.71,79.43,13.28,-8.93,10.44,0.18,0
-8.83,-8.82,-14.38,-16.4,35.63,-4.47,28.9,84.21,94.95,3.47,-6.4,11.73,0.15,0
-8.25,-8.9,-11.79,-18.86,1.18,-1.78,42.07,60.28,82.93,16.22,-6.05,14.73,0.05,0
-7.97,-5.32,-17.42,-18.86,32.24,-19.87,24.92,32.04,70.85,29.72,-7.75,11.99,0.15,0
-6.14,-9.38,-17.66,-17.88,22.84,-3.6,48.83,46.14,80.48,27.29,-9.46,12.37,0.07,0
-7.86,-9.16,-12.94,-11.66,31.34,-29.26,30.0,70.81,84.66,13.41,-5.46,11.4,0.16,0
-9.02,-8.29,-16.03,-11.46,47.94,-37.8,44.15,22.55,78.85,42.78,-9.05,13.94,0.14,0
-7.73,-6.06,-12.8,-15.06,1.24,-12.79,25.74,57.82,92.56,38.1,-9.26,13.59,0.02,0
-8.96,-5.45,-16.95,-15.74,20.48,-26.1,5.28,35.52,87.01,24.9,-9.87,14.49,0.06,0
-5.03,-5.22,-19.9,-15.24,49.45,-32.03,3.1,50.14,79.02,31.79,-9.27,11.37,0.15,0
-7.2,-5.74,-11.01,-18.89,20.48,-49.09,17.33,67.42,87.68,24.17,-7.52,13.94,0.04,0
-8.88,-5.01,-18.63,-16.71,4.79,-48.16,44.33,89.7,75.48,16.38,-7.73,10.12,0.07,0
-7.6,-6.42,-18.3,-13.14,30.46,-32.92,32.19,20.13,73.97,21.13,-9.48,12.8,0.2,0
-7.16,-7.59,-10.62,-12.69,4.91,-13.06,26.14,94.62,76.05,33.73,-7.89,10.34,0.1,0
-8.98,-6.93,-13.07,-14.99,45.57,-31.4,0.37,54.06,96.6,32.76,-7.73,10.16,0.05,0
-5.36,-8.89,-16.31,-15.11,34.91,-31.39,30.02,89.66,71.41,35.4,-5.64,10.17,0.18,0
-5.25,-8.32,-16.31,-17.46,26.94,-21.58,47.15,97.12,83.43,5.94,-5.74,10.29,0.13,0
-5.61,-5.27,-16.33,-10.03,32.31,-26.4,38.61,65.36,94.71,48.3,-6.25,13.27,0.15,0
-8.78,-9.66,-19.24,-11.77,46.17,-25.38,24.16,6.44,70.32,6.98,-5.98,12.49,0.16,0
-7.05,-6.99,-14.4,-10.8,33.23,-31.88,38.25,70.72,78.41,37.12,-9.71,13.48,0.09,0
-8.29,-7.17,-11.6,-16.77,16.8,-15.76,14.18,27.72,78.32,32.82,-7.49,13.83,0.11,0
-6.21,-7.25,-15.03,-17.79,3.49,-27.75,10.83,7.54,95.61,31.12,-8.87,12.84,0.11,0
-9.16,-8.2,-14.01,-16.5,6.97,-22.93,28.84,3.29,99.15,7.91,-7.54,14.2,0.06,0
-8.82,-5.98,-18.52,-13.11,9.69,-48.84,26.34,44.9,93.89,42.11,-6.21,12.69,0.11,0
-6.29,-7.68,-14.91,-15.79,46.98,-31.52,17.42,25.86,82.14,6.77,-6.18,13.89,0.06,0
-9.69,-8.55,-10.33,-15.54,40.54,-17.19,13.42,62.98,99.79,0.66,-5.19,11.43,0.17,0
-7.09,-5.37,-10.24,-19.03,20.94,-32.35,8.64,87.63,92.58,11.08,-9.47,10.4,0.01,0
-5.06,-9.93,-11.39,-15.89,40.28,-18.08,28.57,7.04,89.14,18.64,-9.52,12.89,0.11,0
-7.84,-5.03,-11.17,-10.61,28.5,-0.49,41.92,25.91,92.4,37.3,-8.1,10.57,0.17,0
-6.2,-9.31,-14.42,-18.09,12.42,-2.5,33.03,56.24,78.73,45.35,-8.7,12.23,0.07,0
-9.52,-8.55,-13.28,-16.66,33.21,-3.61,14.65,55.47,80.32,1.51,-8.23,13.05,0.08,0
-9.72,-8.59,-17.75,-18.58,41.66,-3.55,35.22,94.59,87.11,0.38,-9.06,11.17,0.07,0
-5.11,-6.77,-12.47,-19.34,24.95,-12.45,18.33,66.33,78.05,34.64,-8.65,10.66,0.05,0
-7.24,-5.4,-16.32,-17.18,29.46,-29.96,36.04,14.63,76.49,38.52,-6.3,13.72,0.11,0
-6.08,-9.09,-17.63,-13.21,44.58,-0.67,25.85,47.18,94.63,6.39,-7.27,14.9,0.18,0
-6.27,-6.53,-13.31,-12.48,38.38,-41.97,16.5,88.0,70.82,3.07,-8.85,14.74,0.01,0
-7.17,-8.95,-19.72,-11.13,15.07,-35.24,18.02,2.43,87.82,40.1,-6.92,14.25,0.07,0
-6.81,-9.16,-13.46,-17.98,45.15,-37.4,12.18,7.91,85.31,0.48,-8.65,10.99,0.14,0
-9.17,-5.97,-15.77,-12.87,4.34,-9.85,24.62,67.54,98.25,1.15,-6.6,10.57,0.19,0
-9.72,-8.6,-14.32,-14.5,40.51,-11.31,41.39,48.55,91.22,47.4,-5.38,11.44,0.14,0
-8.39,-6.83,-18.78,-11.0,11.61,-0.76,15.57,65.16,76.61,31.67,-9.68,13.61,0.01,0
-7.9,-8.37,-18.76,-16.95,3.33,-4.98,13.0,45.87,74.66,39.28,-9.26,13.55,0.1,0
-8.67,-8.84,-18.89,-15.72,45.71,-37.78,21.6,16.64,90.1,34.09,-6.22,12.13,0.17,0
-6.05,-5.36,-16.05,-18.1,20.72,-34.48,36.52,49.02,71.23,27.33,-7.1,11.79,0.1,0
-5.43,-9.91,-17.68,-10.41,42.34,-6.62,29.82,38.82,97.05,31.82,-6.61,12.56,0.06,0
-7.65,-9.66,-19.69,-10.4,1.8,-2.86,3.54,61.69,88.73,0.66,-9.47,12.73,0.2,0
-9.02,-7.67,-16.66,-12.57,34.47,-24.99,36.2,92.78,86.78,39.12,-6.6,12.86,0.03,0
-9.12,-7.22,-16.65,-19.64,32.66,-7.09,43.98,77.82,87.29,45.68,-8.39,14.39,0.17,0
-8.94,-6.4,-17.66,-13.85,14.09,-30.94,36.48,11.93,87.79,19.71,-9.73,11.48,0.13,0
-9.71,-8.77,-16.25,-19.07,13.36,-21.61,6.66,8.54,92.24,6.84,-9.02,13.94,0.05,0
-7.81,-7.39,-13.83,-13.85,28.96,-39.96,43.57,19.23,91.28,48.23,-8.2,10.13,0.08,0
-8.65,-6.4,-13.75,-11.76,30.65,-47.89,22.51,56.62,92.27,28.96,-5.37,11.14,0.2,0
-9.64,-9.69,-13.98,-14.1,12.5,-30.54,25.47,32.74,86.94,7.35,-7.83,11.42,0.09,0
-5.58,-7.89,-18.55,-17.28,38.86,-38.59,47.62,44.14,77.55,29.99,-5.17,11.01,0.08,0
-7.5,-6.31,-17.8,-12.36,36.57,-40.16,9.38,69.1,75.83,31.35,-9.76,11.76,0.1,0
-9.54,-5.49,-18.69,-19.65,25.22,-11.73,34.74,9.01,77.96,21.99,-6.9,10.31,0.08,0
-8.65,-8.53,-12.27,-14.69,7.96,-28.63,23.59,37.57,85.41,41.19,-5.37,14.49,0.12,0
-7.03,-5.03,-19.38,-14.46,45.08,-46.87,7.43,8.39,94.07,0.64,-6.16,12.73,0.01,0
-5.66,-9.21,-18.33,-14.29,16.82,-38.82,38.14,61.68,89.75,32.82,-6.55,14.37,0.06,0
-5.85,-6.93,-19.6,-13.89,24.27,-31.05,49.42,67.6,71.05,22.98,-8.47,11.85,0.19,0
-5.63,-5.75,-18.47,-12.9,19.25,-43.85,25.27,23.03,82.77,3.6,-7.3,11.14,0.12,0
-9.46,-6.85,-17.85,-19.54,7.68,-45.41,33.3,71.47,91.77,25.03,-5.33,13.24,0.19,0
-5.96,-6.27,-16.07,-12.9,41.34,-34.01,14.13,49.6,88.99,13.52,-9.28,10.1,0.13,0
-7.77,-7.33,-18.54,-16.41,44.84,-28.54,5.28,66.69,79.99,9.97,-6.13,10.44,0.1,0
-5.59,-9.91,-10.59,-12.08,5.88,-45.11,9.71,22.19,94.85,2.83,-9.52,14.16,0.04,0
-9.44,-6.41,-15.55,-19.99,28.2,-7.2,20.17,27.19,78.45,45.71,-8.63,12.02,0.08,0
-7.69,-9.13,-10.55,-11.39,27.29,-3.73,16.89,57.41,97.22,32.13,-5.56,10.78,0.2,0
-8.76,-9.98,-15.53,-15.47,18.51,-34.25,5.75,3.42,87.12,22.33,-9.17,12.75,0.14,0
-6.37,-7.62,-13.51,-19.53,19.26,-21.26,2.25,60.55,83.29,2.63,-8.17,12.06,0.17,0
-5.59,-7.94,-15.24,-10.2,45.3,-47.5,14.5,88.62,99.26,42.49,-6.93,10.72,0.13,0
-7.2,-6.87,-15.58,-12.05,38.8,-3.67,48.16,29.59,83.4,12.44,-7.66,13.08,0.06,0
-5.32,-5.88,-14.77,-19.91,41.84,-34.34,15.4,49.96,92.04,26.27,-5.16,11.51,0.08,0
-7.6,-6.72,-19.88,-15.06,4.77,-33.73,14.37,58.07,96.44,48.84,-7.25,12.03,0.1,0
-5.09,-8.62,-12.53,-18.38,17.34,-0.12,18.58,68.35,81.73,26.47,-5.39,11.52,0.02,0
-8.41,-6.13,-15.0,-17.46,14.16,-36.05,35.25,71.88,80.79,33.81,-8.64,14.28,0.11,0
-6.32,-6.28,-18.23,-14.63,31.21,-21.33,19.81,89.58,71.77,33.34,-7.38,10.91,0.15,0
-7.82,-8.45,-19.57,-15.9,4.43,-16.01,29.69,53.82,76.04,0.64,-6.28,10.77,0.13,0
-9.07,-8.46,-15.97,-19.31,6.36,-18.15,10.39,64.7,87.0,34.19,-9.14,12.46,0.06,0
-6.78,-6.53,-17.3,-18.33,13.24,-14.55,46.42,64.02,95.59,11.07,-8.95,14.26,0.18,0
-8.71,-9.27,-16.2,-18.06,44.44,-8.31,3.75,17.29,85.41,4.71,-7.12,10.46,0.09,0
-7.56,-5.37,-15.76,-16.84,12.41,-5.28,2.54,31.82,95.29,33.79,-5.83,10.79,0.06,0
-6.73,-5.79,-14.75,-12.82,38.38,-13.12,42.17,98.8,92.13,30.86,-8.91,13.13,0.1,0
-7.13,-9.92,-12.92,-10.21,31.51,-13.61,22.9,46.86,84.56,25.52,-7.59,14.49,0.09,0
-5.5,-9.08,-13.29,-19.88,46.63,-34.79,29.3,98.46,76.89,1.98,-7.59,11.75,0.16,0
-6.44,-8.35,-16.52,-12.2,30.5,-47.84,3.11,39.22,78.76,11.55,-8.94,11.89,0.11,0
-7.6,-9.21,-13.13,-12.37,39.29,-31.05,47.79,82.61,92.48,17.7,-5.52,14.77,0.16,0
-8.03,-7.1,-19.82,-18.91,15.24,-5.71,38.01,25.44,90.95,2.33,-6.76,12.38,0.14,0
-8.9,-5.19,-10.2,-18.93,19.05,-35.32,24.85,97.44,73.74,25.74,-5.03,12.95,0.13,0
-8.35,-7.57,-16.67,-19.62,12.4,-30.75,24.85,51.92,77.59,19.51,-8.02,12.45,0.13,0
-7.96,-5.87,-18.35,-19.69,37.95,-20.31,4.93,74.07,91.65,24.02,-9.43,13.45,0.17,0
-5.98,-7.53,-19.49,-10.45,18.69,-32.81,31.62,58.12,70.24,7.91,-5.56,14.71,0.12,0
-7.32,-9.56,-13.91,-14.08,16.04,-9.99,39.57,61.97,74.36,40.29,-7.47,13.92,0.03,0
-7.47,-9.43,-16.1,-12.03,37.41,-3.46,23.62,88.1,85.88,29.22,-6.28,11.05,0.2,0
-7.86,-5.98,-16.7,-10.61,36.61,-17.22,40.97,80.72,88.75,27.67,-6.92,13.25,0.11,0
-9.84,-9.75,-13.49,-18.05,7.47,-46.67,47.04,62.14,82.2,20.11,-9.78,12.41,0.14,0
-5.28,-9.44,-16.61,-14.79,40.16,-34.87,22.17,81.13,99.2,31.63,-9.22,10.54,0.2,0
-6.85,-5.1,-11.7,-13.24,6.27,-1.01,35.22,65.37,99.48,44.2,-6.17,12.55,0.17,0
-7.47,-9.75,-12.98,-12.12,17.16,-4.1,27.2,44.67,75.13,33.03,-8.65,14.29,0.06,0
-6.38,-8.82,-19.72,-11.77,1.66,-4.54,49.36,91.31,75.44,22.87,-9.99,13.66,0.13,0
-5.72,-9.93,-16.69,-10.96,37.16,-16.92,5.2,70.23,71.06,10.4,-5.42,13.06,0.19,0
-8.65,-8.68,-15.84,-10.49,2.18,-22.06,24.87,21.63,90.49,14.9,-5.11,10.92,0.06,0
-9.91,-6.31,-15.96,-12.1,21.5,-0.48,31.07,88.81,73.87,8.0,-9.01,12.38,0.03,0
-6.77,-7.5,-17.46,-11.37,6.13,-30.3,30.73,6.74,90.12,16.95,-8.99,13.22,0.01,0
-8.38,-9.18,-16.73,-11.28,3.36,-3.54,33.03,63.04,98.45,3.33,-6.94,14.35,0.02,0
-6.39,-7.63,-19.29,-18.31,16.72,-19.53,37.37,56.99,93.69,10.73,-8.31,11.12,0.03,0
-7.54,-8.44,-10.93,-15.52,40.34,-3.67,16.05,11.73,83.69,11.54,-7.38,13.85,0.06,0
-7.78,-7.79,-10.86,-19.94,48.94,-3.85,15.93,32.28,80.83,24.8,-8.3,10.68,0.17,0
-9.43,-5.42,-11.79,-13.75,43.62,-25.09,44.42,79.57,82.99,36.65,-8.82,14.15,0.02,0
-9.6,-9.83,-15.21,-13.86,47.22,-9.52,40.98,88.66,95.86,23.02,-7.98,10.87,0.03,0
-8.11,-5.51,-18.77,-16.77,38.32,-28.03,13.49,38.29,72.81,28.54,-7.34,11.97,0.12,0
-7.95,-6.93,-16.67,-17.83,48.01,-1.13,27.61,33.69,90.75,11.11,-8.25,11.02,0.04,0
-6.01,-9.96,-11.42,-18.4,33.28,-25.01,35.1,46.93,84.52,33.29,-8.76,14.19,0.08,0
-6.21,-6.14,-19.94,-19.86,40.39,-6.37,44.13,41.76,97.94,44.31,-9.24,14.26,0.0,0
-6.09,-8.93,-19.87,-13.54,46.21,-35.81,45.83,1.31,79.06,0.63,-8.14,11.22,0.11,0
-5.47,-7.72,-10.31,-16.09,35.99,-15.64,12.72,68.28,89.47,13.29,-8.33,12.45,0.1,0
-6.12,-7.72,-12.27,-14.22,40.95,-7.67,10.71,3.84,93.46,45.62,-7.99,11.64,0.04,0
-5.43,-9.23,-13.55,-17.57,29.05,-0.66,43.54,94.83,87.91,7.57,-7.17,11.98,0.04,0
-5.75,-6.46,-15.0,-10.94,24.39,-33.43,29.4,12.48,72.36,49.32,-6.53,13.61,0.08,0
-9.53,-7.75,-13.83,-10.68,18.55,-1.9,21.65,7.72,75.87,38.61,-8.46,11.93,0.13,0
-5.72,-8.8,-16.25,-13.94,24.67,-14.58,27.29,39.5,89.24,12.33,-6.02,11.89,0.09,0
-5.35,-5.99,-10.59,-17.42,47.44,-47.31,4.25,31.09,75.7,45.55,-6.46,12.82,0.19,0
-7.73,-6.39,-10.3,-12.36,10.35,-24.36,49.94,5.68,93.69,30.18,-6.95,11.4,0.02,0
-5.68,-7.47,-15.49,-15.29,42.85,-26.81,15.89,25.03,90.09,2.49,-5.01,13.17,0.04,0
-6.05,-7.62,-13.6,-13.19,14.0,-27.21,27.51,49.84,79.83,5.22,-8.75,13.14,0.18,0
-7.44,-9.48,-12.46,-17.18,2.51,-33.35,37.47,22.59,86.48,23.84,-8.95,11.49,0.12,0
-5.07,-7.82,-14.34,-18.46,2.08,-2.74,45.37,20.87,87.7,25.86,-8.47,13.14,0.1,0
-5.29,-6.43,-18.41,-18.21,14.56,-1.99,40.86,34.44,98.38,43.94,-6.42,14.5,0.06,0
-3.0,-2.84,-8.16,-5.63,59.5,5.9,53.45,165.03,60.53,69.7,-1.42,8.2,0.21,1
-2.14,-0.18,-7.17,-5.61,91.54,18.77,82.89,168.56,58.49,50.56,-3.66,6.28,0.35,1
-2.84,-2.03,-7.57,-8.25,88.29,9.43,97.55,122.86,55.05,56.5,-0.46,8.37,0.31,1
-0.43,-1.98,-5.26,-5.89,62.73,12.21,64.42,152.94,55.23,67.12,-3.97,8.86,0.25,1
-4.74,-1.99,-9.63,-7.17,68.64,34.51,68.25,107.91,57.62,87.98,-2.09,7.45,0.25,1
-0.25,-0.64,-6.39,-8.53,66.79,0.45,75.54,172.66,62.21,63.38,-1.82,6.77,0.38,1
-0.47,-0.97,-6.47,-7.27,97.99,11.18,61.47,153.38,59.54,53.97,-0.34,7.23,0.28,1
-1.3,-1.56,-6.73,-6.94,52.28,44.83,92.39,197.63,66.52,75.11,-4.53,6.89,0.2,1
-1.12,-0.41,-9.46,-5.27,63.23,9.64,58.65,149.14,50.62,99.32,-4.82,8.97,0.39,1
-1.26,-4.57,-6.36,-5.65,86.34,36.68,73.5,148.44,68.26,98.81,-1.61,6.43,0.27,1
-0.68,-1.84,-8.39,-5.61,87.65,37.81,75.27,157.77,50.91,51.41,-2.87,7.85,0.37,1
-2.74,-4.2,-7.73,-9.02,71.87,24.28,59.09,169.33,53.26,91.08,-4.5,7.26,0.32,1
-1.08,-2.84,-8.92,-8.56,84.65,11.37,87.6,135.31,68.9,72.43,-2.38,6.24,0.32,1
-0.73,-0.09,-8.12,-6.39,78.92,31.9,75.46,112.16,63.11,55.16,-1.09,6.04,0.39,1
-4.85,-0.88,-5.2,-9.28,69.98,19.49,75.84,151.18,65.68,96.69,-4.32,7.63,0.22,1
-3.97,-3.76,-6.34,-8.64,88.07,33.97,54.19,157.42,56.68,75.25,-1.66,7.39,0.21,1
-2.8,-4.56,-9.7,-8.54,74.42,0.45,85.74,130.55,69.36,68.68,-3.06,8.95,0.37,1
-2.84,-0.03,-9.36,-8.63,60.13,49.91,83.12,107.32,69.6,95.0,-3.87,7.84,0.35,1
-3.73,-3.99,-9.49,-7.98,85.7,29.81,75.95,199.33,68.54,92.12,-2.7,5.47,0.21,1
-3.9,-3.43,-7.33,-7.5,88.89,29.07,75.22,100.32,61.02,59.34,-4.35,6.05,0.26,1
-1.67,-1.14,-8.05,-6.2,71.09,35.9,60.47,101.32,58.87,51.01,-4.9,8.19,0.24,1
-2.19,-4.13,-6.68,-5.77,75.08,7.25,71.89,197.61,64.76,97.95,-3.11,9.45,0.21,1
-2.09,-4.62,-6.93,-7.66,98.9,40.41,59.92,121.38,53.78,91.59,-4.08,9.22,0.29,1
-2.3,-2.78,-5.91,-8.74,53.1,38.06,57.76,105.07,51.65,97.78,-3.3,9.63,0.38,1
-1.14,-4.75,-8.37,-5.31,63.2,25.34,58.41,106.4,59.89,58.61,-3.07,9.16,0.26,1
-2.38,-2.38,-9.3,-5.7,53.15,39.47,54.58,186.09,51.32,64.53,-0.29,6.66,0.28,1
-2.87,-2.68,-9.54,-9.76,53.43,19.17,63.44,124.12,59.56,74.29,-4.38,8.87,0.21,1
-1.7,-2.61,-7.06,-6.77,71.44,42.36,63.48,115.0,51.18,88.42,-0.82,8.54,0.31,1
-1.04,-4.58,-6.31,-5.11,78.03,10.11,56.34,124.01,55.88,95.66,-4.31,5.28,0.2,1
-4.79,-0.77,-6.9,-5.44,89.71,22.62,67.89,113.32,63.11,55.24,-3.32,7.04,0.32,1
